Name,Phone,Address,Phone2,URL,Email,"Price Level",Class,Price,"Best Price","Average Price",Amenities
"Golden Buddha Beach Resort","+44 20 8123 2053","131 Moo 2, Ko Phra Thong 82150 Thailand","+44 20 8123 2053",http://www.goldenbuddharesort.com,info@goldenbuddharesort.com,$$,0.0,"$80 - $400",N/A,N/A,"Bar / Lounge,Beach,Restaurant"
"Novotel Bangkok Suvarnabhumi Airport","+66 2 131 1111","999 Moo 1, Suvarnabhumi Airport Hotel Building Nongprue, 10540 Thailand","+66 2 131 1111",http://logp3.xiti.com/gopc.url?xts=201912&xtor=adc-5107-[Tripadvisor]-[TH]-[0]-[0]-[0]&url=http://www.accorhotels.com/lien_externe.svlt?goto=fiche_hotel&code_hotel=6183&merchantid=PAR-TH&sourceid=Trip-6183-BusList,info@novotelairportbkk.com,$$,4.0,"$159 - $228",,,"Bar / Lounge,Business Center with Internet Access,Fitness Center with Gym / Workout Room,Restaurant,Room Service,Shuttle Bus service,Suites,Swimming Pool,Wheelchair access,Airport Transportation"
"Moevenpick Resort Bangtao Beach Phuket","+66 76 310 400","35 Moo 4 Cherng Talay, Bang Tao Beach, Phuket 83110 Thailand","+66 76 310 400",http://www.moevenpick-hotels.com/en/asia/thailand/phuket/resort-phuket-bangtao/overview/,residences.phuket.reservations@moevenpick.com,$$$$,4.5,"$201 - $1,333",,,"Bar / Lounge,Beach,Business Center with Internet Access,Fitness Center with Gym / Workout Room,Free High Speed Internet ( Wi-Fi ),Free Parking,Children Activities ( Kid / Family Friendly ),Kitchenette,Restaurant,Room Service,Spa,Suites,Swimming Pool"
"The Tubkaak Krabi Boutique Resort","+66 75 628 400","123 Moo 3, Tumbol Nongtalay, Nong Thale, Krabi Town 81000 Thailand","+66 75 628 400",http://www.tubkaakresort.com/,hotel@tubkaakresort.com,$$$$,4.5,"$163 - $408",$138,$321,"Bar / Lounge,Beach,Fitness Center with Gym / Workout Room,Free Breakfast,Free High Speed Internet ( Wi-Fi ),Free Parking,Restaurant,Room Service,Shuttle Bus service,Spa,Suites,Swimming Pool"
"Phulay Bay, A Ritz Carlton Reserve",800-542-8680,"111 Moo 3 Nongthalay, Muang, Nong Thale, Krabi Town 81000 Thailand",800-542-8680,http://ad.doubleclick.net/clk;280406832;107295805;f?http://mobile.ritzcarlton.com/mt/www.ritzcarlton.com/en/Properties/PhulayBay/Default.htm?utm_campaign=R11918&pid=rccorpta,N/A,$$$$,5.0,"$425 - $1,298",$385,$645,"Business Center with Internet Access,Fitness Center with Gym / Workout Room,Free High Speed Internet ( Wi-Fi ),Free Parking,Restaurant,Room Service,Spa,Suites,Swimming Pool"
"Sheraton Krabi Beach Resort","+66 75 628 000","155 Moo 2, Nong Thale, Krabi Town 81000 Thailand","+66 75 628 000",N/A,sheraton.krabi@sheraton.com,$$$,4.5,"$121 - $431",,,"Bar / Lounge,Beach,Business Center with Internet Access,Fitness Center with Gym / Workout Room,Free Parking,Children Activities ( Kid / Family Friendly ),Restaurant,Room Service,Shuttle Bus service,Spa,Suites,Swimming Pool,Wheelchair access,Airport Transportation"
"Sofitel Krabi Phokeethra Golf & Spa Resort","66 7562 7800","Khlong Muang Beach Nong Thalay, Nong Thale, Krabi Town 81000 Thailand","66 7562 7800",http://logp3.xiti.com/gopc.url?xts=201912&xtor=adc-5107-[Tripadvisor]-[TH]-[0]-[0]-[0]&url=http://www.sofitel.com/lien_externe.svlt?goto=fiche_hotel&code_hotel=6184&merchantid=PAR-TH&sourceid=Trip-6184-BusList,N/A,$$$,4.5,"$111 - $466",$127,$226,"Bar / Lounge,Beach,Business Center with Internet Access,Fitness Center with Gym / Workout Room,Free Parking,Children Activities ( Kid / Family Friendly ),Restaurant,Room Service,Spa,Suites,Swimming Pool,Wheelchair access"
"Celtic Motel","+64 6-363 5333","29 Purcell St. Foxton, Foxton New Zealand","+64 6-363 5333",http://www.celticmotel.co.nz,celtic.motel@xtra.co.nz,$$,0.0,"$108 - $113",,,"Free High Speed Internet ( Wi-Fi ),Free Parking,Kitchenette,Wheelchair access"
"Riverview Motel","+64 6-345 2888","14 Somme Parade, Wanganui 5001 New Zealand","+64 6-345 2888",http://www.wanganuimotels.co.nz,riverviewmotel@xtra.co.nz,$,3.5,"$77 - $91",,,"Free High Speed Internet ( Wi-Fi ),Free Parking,Kitchenette,Room Service,Suites,Wheelchair access,Airport Transportation"
"Siena Motor Lodge","+64 6-345 9009","335 Victoria Ave, Wanganui New Zealand","+64 6-345 9009",http://www.siena.co.nz,info@siena.co.nz,$$,4.5,"$109 - $126",,,"Bar / Lounge,Fitness Center with Gym / Workout Room,Free Parking,Kitchenette,Spa"
"Kings Court Motel","+64 6-345 8586","60 Plymouth Street, Wanganui New Zealand","+64 6-345 8586",http://www.kingscourtmotel.co.nz/,kingscourtmotel@xtra.co.nz,$,4.0,"$88 - $98",,,"Free High Speed Internet ( Wi-Fi ),Free Parking,Kitchenette,Room Service,Wheelchair access,Airport Transportation"
