Category,Parent,Name,Geo,"Sub Category",Country,"Location Id",Results
geographic,Thailand,"Phra Thong Kham",narrow,city,Thailand,2237504,-1
geographic,Thailand,"Krok Phra",narrow,city,Thailand,2237157,-1
geographic,Thailand,"Phra Pradaeng",narrow,city,Thailand,2148067,-1
geographic,Thailand,"Phra Samut Chedi",narrow,city,Thailand,2237206,-1
geographic,Thailand,"Phra Phutthabat",narrow,city,Thailand,2237214,-1
geographic,Thailand,"Phra Yuen",narrow,city,Thailand,2237428,-1
geographic,Thailand,"Nakhon Ratchasima Province",hybrid,province,Thailand,2098196,87
geographic,Thailand,"Nakhon Si Thammarat Province",hybrid,province,Thailand,2098421,35
geographic,Thailand,"Nakhon Ratchasima",narrow,city,Thailand,469414,37
geographic,Thailand,"Nong Khai Province",hybrid,province,Thailand,2098436,14
geographic,Thailand,"Nong Khai",narrow,city,Thailand,303915,14
geographic,Laos,"Nong Khiaw",narrow,city,Laos,1520128,-1
geographic,Thailand,"Nong Bua Lamphu Province",hybrid,province,Thailand,2154412,-1
geographic,Thailand,"Nong Sung",narrow,city,Thailand,2237474,-1
geographic,Thailand,"Nong Kae",narrow,city,Thailand,6375760,-1
geographic,Thailand,"Nong Prue",narrow,city,Thailand,2237736,1
geographic,Thailand,"Nong Pla Lai",narrow,city,Thailand,3526318,-1
geographic,Thailand,"Nong Bua Lamphu",narrow,city,Thailand,2154418,-1
geographic,Thailand,"Bang Phli",narrow,district,Thailand,644049,4
geographic,Thailand,"Bang Tao Beach",narrow,city,Thailand,2400063,4
geographic,Thailand,"Bang Saphan",narrow,city,Thailand,1566927,11
geographic,Thailand,"Bang Lamung",narrow,city,Thailand,1226133,23
geographic,Thailand,"Bang Sai",narrow,city,Thailand,2238737,-1
geographic,Thailand,"Bang Yai",narrow,city,Thailand,1745309,-1
geographic,Thailand,"Bang Pa-in",narrow,city,Thailand,303901,-1
geographic,Thailand,"Bang Sao Thong",narrow,city,Thailand,1772327,1
geographic,Thailand,"Bang Niang Beach",narrow,city,Thailand,2290412,-1
geographic,Thailand,"Bang Tao Beach",narrow,city,Thailand,2400063,4
geographic,Thailand,"Bang Saphan",narrow,city,Thailand,1566927,11
geographic,Thailand,"Bang Lamung",narrow,city,Thailand,1226133,23
geographic,Thailand,"Bang Sai",narrow,city,Thailand,2238737,-1
geographic,Thailand,"Bang Yai",narrow,city,Thailand,1745309,-1
geographic,Thailand,"Bang Pa-in",narrow,city,Thailand,303901,-1
geographic,Thailand,"Bang Sao Thong",narrow,city,Thailand,1772327,1
geographic,Thailand,"Bang Niang Beach",narrow,city,Thailand,2290412,-1
geographic,Thailand,"Bang Saphan Noi",narrow,city,Thailand,2237748,-1
geographic,Thailand,"Bang Tao Beach",narrow,city,Thailand,2400063,4
geographic,Thailand,"Bang Saphan",narrow,city,Thailand,1566927,11
geographic,Thailand,"Bang Lamung",narrow,city,Thailand,1226133,23
geographic,Thailand,"Bang Sai",narrow,city,Thailand,2238737,-1
geographic,Thailand,"Bang Yai",narrow,city,Thailand,1745309,-1
geographic,Thailand,"Bang Pa-in",narrow,city,Thailand,303901,-1
geographic,Thailand,"Bang Sao Thong",narrow,city,Thailand,1772327,1
geographic,Thailand,"Bang Niang Beach",narrow,city,Thailand,2290412,-1
geographic,Thailand,"Bang Saphan Noi",narrow,city,Thailand,2237748,-1
geographic,Thailand,"Pathum Thani",narrow,city,Thailand,297929,6
geographic,Thailand,"Pathum Rat",narrow,city,Thailand,2237534,-1
geographic,Thailand,"Pathum Ratchawongsa",narrow,city,Thailand,2238708,-1
geographic,"New Zealand","Manawatu-Wanganui Region",narrow,district,"New Zealand",1894027,72
geographic,"New Zealand",Wanaka,narrow,city,"New Zealand",612500,22
geographic,"New Zealand",Wanganui,narrow,city,"New Zealand",255370,26
geographic,"New York",Wantagh,narrow,city,"United States",48797,-1
geographic,Thailand,"Mae Wang",narrow,city,Thailand,2237291,-1
geographic,China,Wanning,narrow,city,China,616021,-1
geographic,Thailand,"Ban Phai",narrow,city,Thailand,2237415,2
geographic,Thailand,"Nong Phai",narrow,city,Thailand,2237182,-1
geographic,Thailand,Phaisali,narrow,city,Thailand,2237162,-1
geographic,Thailand,"Sop Prap",narrow,city,Thailand,2237322,-1
geographic,Thailand,Bangkok,narrow,city,Thailand,293916,756
geographic,Thailand,"Phra Samut Chedi",narrow,city,Thailand,2237206,-1
geographic,Thailand,"Phra Phutthabat",narrow,city,Thailand,2237214,-1
geographic,Thailand,"Phra Phrom",narrow,city,Thailand,2237656,-1
geographic,Thailand,"Phra Thong Kham",narrow,city,Thailand,2237504,-1
geographic,Thailand,"Phra Yuen",narrow,city,Thailand,2237428,-1
geographic,Thailand,"Ko Phra Thong",narrow,island,Thailand,5556197,1
geographic,Thailand,"Chaloem Phra Kiat",narrow,city,Thailand,4187126,1
