Name,Phone,Address,Phone2,URL,Email,"Price Level",Class,Price,"Best Price","Average Price",Amenities
"Jomtien Longstay Hotel",,"403/28 M.12 Jomtien Beach Road Nongprue, Banglamung, Nong Prue 20150 Thailand",N/A,N/A,N/A,,0.0,$0,N/A,N/A,
"Paeva Luxury Services Residence",,"99/88 Moo 7, Soi Number One, Bangna-Trad Rd., Bang Sao Thong 10540 Thailand",N/A,N/A,N/A,$,3.5,"$51 - $60",$45,$52,"Fitness Center with Gym / Workout Room,Free High Speed Internet ( Wi-Fi ),Free Parking,Restaurant,Room Service,Swimming Pool,Airport Transportation"
"Golden Buddha Beach Resort","+44 20 8123 2053","131 Moo 2, Ko Phra Thong 82150 Thailand","+44 20 8123 2053",http://www.goldenbuddharesort.com,info@goldenbuddharesort.com,$$,0.0,"$80 - $400",N/A,N/A,"Bar / Lounge,Beach,Restaurant"
"Khum Suphan Hotel",,"28/2 Muenharn Road, Suphan Buri Thailand",N/A,N/A,N/A,,0.0,$0,N/A,N/A,"Bar / Lounge"
"Sri U-Thong Grand Hotel",,"19 Nangpim T.Ta Pee Liang, Suphan Buri 72000 Thailand",N/A,N/A,N/A,$,0.0,"$32 - $34",$29,$34,"Free Parking,Restaurant,Room Service"
"Songphanburi Hotel",,"135/1 Prachathipatai Road 135/1 ถนนประชาธิปไตย, Suphan Buri 72000 Thailand",N/A,N/A,N/A,$,0.0,"$26 - $33",$28,$32,"Beverage Selection,Free Breakfast,Free High Speed Internet ( Wi-Fi ),Free Parking,Restaurant,Room Service,Suites,Swimming Pool,Wheelchair access"
"Botanica Resort Khao Yai",,"188/1 Thanarat Road Moo Si subdistrict, Pak Chong 30130 Thailand",N/A,N/A,N/A,$$$,4.5,"$161 - $414",$161,$205,"Beverage Selection,Business Center with Internet Access,Fitness Center with Gym / Workout Room,Free Breakfast,Free High Speed Internet ( Wi-Fi ),Free Parking,Kitchenette,Restaurant,Shuttle Bus service,Suites,Swimming Pool,Airport Transportation"
"Khaoyai Fahsai Resort",,"999 Moo 9 Phayayen, Pakchong, Pak Chong 30320 Thailand",N/A,N/A,N/A,$,0.0,"$45 - $76",,,"Free Parking,Restaurant,Room Service,Swimming Pool,Wheelchair access"
"Dusit Princess Korat",,"1137 Suranarai Road,Naimuang, Nakhon Ratchasima 30000 Thailand",N/A,N/A,N/A,$,3.5,"$52 - $109",$44,$60,"Bar / Lounge,Business Center with Internet Access,Fitness Center with Gym / Workout Room,Free Parking,Restaurant,Room Service,Swimming Pool,Wheelchair access"
"Romyen Garden Place",,"168/9 Jromsurangyard Road, Naimuang, Muang, Nakhon Ratchasima 30000 Thailand",N/A,N/A,N/A,$,0.0,"$23 - $27",$23,$26,
"Mountain Creek Golf Resort & Residences",,"99/9 Moo 12, Mittraphap Road, KM. 91 Ladbuakhao, Sikhio 30340, Thailand, Sikhio 30340 Thailand",N/A,N/A,N/A,$$$,0.0,"$107 - $519",$92,$295,"Bar / Lounge,Free Breakfast,Free High Speed Internet ( Wi-Fi ),Free Parking,Children Activities ( Kid / Family Friendly ),Restaurant,Room Service,Swimming Pool,Wheelchair access"
"The Greenery Resort Khao Yai",,"188/1 Moo.5, Thanaratch Road, Pak Chong, Nakhon Ratchasima, Khao Yai National Park 30130 Thailand",N/A,N/A,N/A,$$,0.0,"$83 - $129",$80,$111,
"Korapura Resort",,"1121/2 Suranarai Rd Nai Mueang, Nakhon Ratchasima 30000 Thailand",N/A,N/A,N/A,$,0.0,"$42 - $46",$37,$45,"Beverage Selection,Business Center with Internet Access,Free Breakfast,Free High Speed Internet ( Wi-Fi ),Free Parking,Restaurant,Room Service,Suites,Wheelchair access"
"Punjadara Hotel",,"281/19 Chainarong Road Nai Mueang, Nakhon Ratchasima 30000 Thailand",N/A,N/A,N/A,$,0.0,"$23 - $28",$21,$24,"Bar / Lounge,Free Breakfast,Free High Speed Internet ( Wi-Fi ),Free Parking,Kitchenette,Restaurant,Room Service,Suites,Wheelchair access"
"Rachaphruk Grand",,"311 Mittaphap Road, Nakhon Ratchasima 30000 Thailand",N/A,N/A,N/A,$,0.0,"$35 - $37",$32,$37,"Bar / Lounge,Fitness Center with Gym / Workout Room,Restaurant,Spa,Swimming Pool"
"Sima Thani Hotel",,"2112/2 Mittraphap Road, Nakhon Ratchasima 30000 Thailand",N/A,N/A,N/A,$,3.0,"$48 - $88",$75,$69,"Business Center with Internet Access,Fitness Center with Gym / Workout Room,Free High Speed Internet ( Wi-Fi ),Free Parking,Restaurant,Room Service,Swimming Pool"
"The Rich Hotel",,"823/1 Chang Puek, Nai Muang, Muaeng, Nakhon Ratchasima 30000 Thailand",N/A,N/A,N/A,$,0.0,"$20 - $21",$20,$21,"Free Parking,Restaurant,Room Service"
"Sripatana Hotel",,"346 Suranaree Rd., Nakhon Ratchasima 30000 Thailand",N/A,N/A,N/A,$,0.0,"$28 - $34",$25,$33,"Bar / Lounge,Free Parking,Children Activities ( Kid / Family Friendly ),Restaurant,Swimming Pool"
"Rim Tarn Inn",,"430 Mittraphab Highway, Pak Chong 30130 Thailand",N/A,N/A,N/A,$,0.0,"$24 - $29",,,"Free Parking,Restaurant,Room Service,Suites,Swimming Pool"
"Samanea Resort",,"100 Baan Lerd Thai Mooseee, Pak Chong 30130 Thailand",N/A,N/A,N/A,$,3.0,"$49 - $95",,,"Bar / Lounge,Free High Speed Internet ( Wi-Fi ),Free Parking,Restaurant,Swimming Pool"
"Muangthong Thani Resort Korat",,"189 km 22 Road Fellowship, Sung district, Palm Rd., Nakhon Ratchasima 30160 Thailand",N/A,N/A,N/A,$,0.0,"$23 - $31",,,"Restaurant,Room Service"
"U-Sabai Park Resort",,"920 Moo 1 Bankho Soi 3 Suranarai Road Ban Ko, Nakhon Ratchasima 30000 Thailand",N/A,N/A,N/A,$,0.0,"$21 - $23",,,"Free High Speed Internet ( Wi-Fi ),Free Parking,Room Service"
"Thai Inter Hotel",,"344/2 Yommaraj Road, City Center, Nakhon Ratchasima Thailand",N/A,N/A,N/A,$,0.0,"$25 - $26",,,Restaurant
"Mandarin Khao Yai",,"188 Moo 5 Moosee, Pak Chong Thailand",N/A,N/A,N/A,$,0.0,"$29 - $76",,,"Restaurant,Room Service"
"Kong Garden Resort",,"20 Moo 13, Phan Suek Road Phayayen, Pak Chong 30320 Thailand",N/A,N/A,N/A,$,0.0,"$54 - $85",,,"Free Parking,Children Activities ( Kid / Family Friendly ),Restaurant,Room Service,Shuttle Bus service"
"Korat Resort Hotel",,"54/9, Moo 7 Chalermpakiat Road Tha Ang, Chok Chai 10400 Thailand",N/A,N/A,N/A,$,0.0,"$29 - $31",,,"Fitness Center with Gym / Workout Room,Free High Speed Internet ( Wi-Fi ),Free Parking,Restaurant,Room Service,Swimming Pool"
"Sabai Hotel Korat",,"1 Moo 6 Murnvai District, Nakhon Ratchasima 30000 Thailand",N/A,N/A,N/A,$,0.0,"$25 - $37",$38,$27,"Restaurant,Room Service,Spa"
"Dharaburee Butique Hotel",,"909 M. 5 Saubsiri Rd Nongjabok, Mueang, Nakhon Ratchasima Thailand",N/A,N/A,N/A,$,0.0,"$45 - $47",,,
"Hakuna Matata Natural Resort",,"317 Thanarat Road, Pak Chong 30130 Thailand",N/A,N/A,N/A,$,0.0,"$29 - $50",,,"Beach,Children Activities ( Kid / Family Friendly ),Restaurant,Room Service"
"Thanya Pura Boutique Hotel",,"294/77 30 Kanya Rd Naimuang Muang, Nakhon Ratchasima 30000 Thailand",N/A,N/A,N/A,$,0.0,"$19 - $28",,,"Free Parking,Shuttle Bus service,Spa,Swimming Pool"
"Pakchong Hotel",,"650/1 Mitrapap Road A.Pakchong, Nakhon Ratchasima 30130 Thailand",N/A,N/A,N/A,$,0.0,"$16 - $19",,,
"K.H. Chaophaya Inn",,"62/1 Chom Surang Yat Road, Nakhon Ratchasima 30000 Thailand",N/A,N/A,N/A,$,0.0,"$16 - $17",,,"Free Parking,Restaurant"
"The Piano Resort",,"999 Moo 6, Thanarat Rd, Km 9, Pak Chong 30130 Thailand",N/A,N/A,N/A,$,0.0,"$60 - $155",,,"Bar / Lounge,Free Parking,Restaurant,Swimming Pool"
"Panther Creek Resort",,"123 Moo 15 Tanarat Baan Klongsue, Khao Yai National Park 30130 Thailand",N/A,N/A,N/A,$,0.0,"$76 - $78",,,"Free Parking,Kitchenette"
"Kirirath Resort",,"57 Moo 5, T. Wang, Pak Chong Thailand",N/A,N/A,N/A,$,0.0,"$21 - $43",,,"Free Parking,Children Activities ( Kid / Family Friendly ),Restaurant,Room Service,Airport Transportation"
